,day,seat,occ
279,Thursday,31-63,2.3
280,Wednesday,31-63,0.8
281,Friday,31-64,0
282,Monday,31-64,0
283,Tuesday,31-64,0
284,Thursday,31-64,0
285,Wednesday,31-64,2.7
286,Friday,31-65,0
287,Monday,31-65,45.7
288,Tuesday,31-65,59.7
289,Thursday,31-65,55.3
290,Wednesday,31-65,38.3
291,Friday,31-66,0
292,Monday,31-66,0
293,Tuesday,31-66,1.2
294,Thursday,31-66,0
295,Wednesday,31-66,31.8
296,Friday,31-68,0
297,Monday,31-68,29.5
298,Tuesday,31-68,0
299,Thursday,31-68,33.2
300,Wednesday,31-68,65.8
301,Friday,31-69,60.8
302,Monday,31-69,47.3
303,Tuesday,31-69,59.1
304,Thursday,31-69,64.9
305,Wednesday,31-69,59.4
306,Friday,31-70,0.1
307,Monday,31-70,13.9
308,Tuesday,31-70,41.3
309,Thursday,31-70,35.7
310,Wednesday,31-70,45.3
311,Friday,31-71,17.8
312,Monday,31-71,39.4
313,Tuesday,31-71,43.5
314,Thursday,31-71,47
315,Wednesday,31-71,63.6
316,Friday,31-72,0
317,Monday,31-72,13.9
318,Tuesday,31-72,50.5
319,Thursday,31-72,61.4
320,Wednesday,31-72,59.2
321,Friday,31-73,0
322,Monday,31-73,0
323,Tuesday,31-73,35.1
324,Thursday,31-73,64.7
325,Wednesday,31-73,31.8
326,Friday,31-74,50.7
327,Monday,31-74,15.7
328,Tuesday,31-74,57
329,Thursday,31-74,68.7
330,Wednesday,31-74,68.8
331,Friday,31-75,36.1
332,Monday,31-75,34.8
333,Tuesday,31-75,68.8
334,Thursday,31-75,46.6
335,Wednesday,31-75,70
336,Friday,31-76,0
337,Monday,31-76,0
338,Tuesday,31-76,0
339,Thursday,31-76,37.7
340,Wednesday,31-76,0
341,Friday,31-77,0
342,Monday,31-77,29.1
343,Tuesday,31-77,61.3
344,Thursday,31-77,60.8
345,Wednesday,31-77,48.8
346,Friday,31-78,35.8
347,Monday,31-78,16.7
348,Tuesday,31-78,57.1
349,Thursday,31-78,28.1
350,Wednesday,31-78,43.5
351,Friday,31-81,68.9
352,Monday,31-81,40.5
353,Tuesday,31-81,37.9
354,Thursday,31-81,57
355,Wednesday,31-81,40.6
356,Friday,31-82,0
357,Monday,31-82,0
358,Tuesday,31-82,12.4
359,Thursday,31-82,19.7
360,Wednesday,31-82,10.4
361,Friday,31-83,0
362,Monday,31-83,46.2
363,Tuesday,31-83,13.7
364,Thursday,31-83,57.7
365,Wednesday,31-83,63.4
366,Friday,31-84,42.4
367,Monday,31-84,20.1
368,Tuesday,31-84,42.6
369,Thursday,31-84,50.2
370,Wednesday,31-84,38.1
371,Friday,31-85,0
372,Monday,31-85,3.8
373,Tuesday,31-85,2.9
374,Thursday,31-85,42.3
375,Wednesday,31-85,19.7
376,Friday,31-86,17.4
377,Monday,31-86,0
378,Tuesday,31-86,61
379,Thursday,31-86,12.6
380,Wednesday,31-86,21.5
381,Friday,31-87,0.2
382,Monday,31-87,12.4
383,Tuesday,31-87,33.6
384,Thursday,31-87,45.5
385,Wednesday,31-87,43.8
386,Friday,31-88,0
387,Monday,31-88,11.2
388,Tuesday,31-88,29.5
389,Thursday,31-88,57
390,Wednesday,31-88,11.2
391,Friday,31-89,18.4
392,Monday,31-89,0
393,Tuesday,31-89,0
394,Thursday,31-89,38.7
395,Wednesday,31-89,21.9
396,Friday,31-90,20
397,Monday,31-90,49.3
398,Tuesday,31-90,56.7
399,Thursday,31-90,57.2
400,Wednesday,31-90,56.6
401,Friday,31-91,34.7
402,Monday,31-91,45
403,Tuesday,31-91,48.6
404,Thursday,31-91,60.6
405,Wednesday,31-91,51.3
406,Friday,31-92,0
407,Monday,31-92,25.7
408,Tuesday,31-92,16.5
409,Thursday,31-92,46.5
410,Wednesday,31-92,51.7
411,Friday,31-93,0
412,Monday,31-93,0
413,Tuesday,31-93,33.3
414,Thursday,31-93,62.9
415,Wednesday,31-93,52.5
416,Friday,31-94,5.1
417,Monday,31-94,0.1
418,Tuesday,31-94,49.2
419,Thursday,31-94,22.1
420,Wednesday,31-94,0.3
421,Friday,31-95,1.3
422,Monday,31-95,7.1
423,Tuesday,31-95,20.8
424,Thursday,31-95,15.1
425,Wednesday,31-95,29.6
426,Friday,31-96,0.8
427,Monday,31-96,11.5
428,Tuesday,31-96,61.9
429,Thursday,31-96,40.1
430,Wednesday,31-96,66.8
431,Friday,31-97,0
432,Monday,31-97,0
433,Tuesday,31-97,62.1
434,Thursday,31-97,16.1
435,Wednesday,31-97,64.4
436,Friday,31-98,0
437,Monday,31-98,0
438,Tuesday,31-98,36.8
439,Thursday,31-98,47.6
440,Wednesday,31-98,41.8
441,Friday,31-99,0
442,Monday,31-99,0
443,Tuesday,31-99,43.8
444,Thursday,31-99,36.6
445,Wednesday,31-99,33.7
