"","day","seat","occ"
"266","Friday","33-59",0
"267","Monday","33-59",55.1
"268","Thursday","33-59",59.5
"269","Tuesday","33-59",17.4
"270","Wednesday","33-59",49.2
"271","Friday","33-6",19
"272","Monday","33-6",6.7
"273","Thursday","33-6",0
"274","Tuesday","33-6",9.2
"275","Wednesday","33-6",37.2
"276","Friday","33-60",0
"277","Monday","33-60",55.8
"278","Thursday","33-60",59.8
"279","Tuesday","33-60",45.9
"280","Wednesday","33-60",51.8
"281","Friday","33-61",62.8
"282","Monday","33-61",57.6
"283","Thursday","33-61",71.9
"284","Tuesday","33-61",52.1
"285","Wednesday","33-61",63.6
"286","Friday","33-62",0
"287","Monday","33-62",58.9
"288","Thursday","33-62",52.8
"289","Tuesday","33-62",49.9
"290","Wednesday","33-62",56.4
"291","Friday","33-63",0
"292","Monday","33-63",54.8
"293","Thursday","33-63",55.2
"294","Tuesday","33-63",34.8
"295","Wednesday","33-63",34.1
"296","Friday","33-64",20.8
"297","Monday","33-64",54.6
"298","Thursday","33-64",47.9
"299","Tuesday","33-64",39.1
"300","Wednesday","33-64",0
"301","Friday","33-65",3.1
"302","Monday","33-65",27.7
"303","Thursday","33-65",0
"304","Tuesday","33-65",19.8
"305","Wednesday","33-65",15.9
"306","Friday","33-66",0
"307","Monday","33-66",22.3
"308","Thursday","33-66",38.7
"309","Tuesday","33-66",0.5
"310","Wednesday","33-66",0
"311","Friday","33-67",0
"312","Monday","33-67",27
"313","Thursday","33-67",0
"314","Tuesday","33-67",14.3
"315","Wednesday","33-67",22.3
"316","Friday","33-68",40.3
"317","Monday","33-68",32.1
"318","Thursday","33-68",8.5
"319","Tuesday","33-68",28
"320","Wednesday","33-68",47.7
"321","Friday","33-69",63.8
"322","Monday","33-69",52.5
"323","Thursday","33-69",62.6
"324","Tuesday","33-69",47.8
"325","Wednesday","33-69",40.5
"326","Friday","33-7",0
"327","Monday","33-7",26.2
"328","Thursday","33-7",49
"329","Tuesday","33-7",0
"330","Wednesday","33-7",22.8
"331","Friday","33-70",48.2
"332","Monday","33-70",62.8
"333","Thursday","33-70",57
"334","Tuesday","33-70",55.9
"335","Wednesday","33-70",36.7
"336","Friday","33-71",51.8
"337","Monday","33-71",46.6
"338","Thursday","33-71",44.3
"339","Tuesday","33-71",65.2
"340","Wednesday","33-71",65.4
"341","Friday","33-72",0
"342","Monday","33-72",21.6
"343","Thursday","33-72",0
"344","Tuesday","33-72",54.3
"345","Wednesday","33-72",0
"346","Friday","33-73",0
"347","Monday","33-73",53.5
"348","Thursday","33-73",48.5
"349","Tuesday","33-73",36.3
"350","Wednesday","33-73",54.4
"351","Friday","33-74",0
"352","Monday","33-74",56.4
"353","Thursday","33-74",57.7
"354","Tuesday","33-74",43
"355","Wednesday","33-74",45.9
"356","Friday","33-75",54.4
"357","Monday","33-75",31.2
"358","Thursday","33-75",0
"359","Tuesday","33-75",39
"360","Wednesday","33-75",0
"361","Friday","33-76",74.4
"362","Monday","33-76",67
"363","Thursday","33-76",83
"364","Tuesday","33-76",82.8
"365","Wednesday","33-76",71
"366","Friday","33-77",0
"367","Monday","33-77",46.6
"368","Thursday","33-77",48.2
"369","Tuesday","33-77",43.4
"370","Wednesday","33-77",17.2
"371","Friday","33-78",0
"372","Monday","33-78",40.3
"373","Thursday","33-78",38.9
"374","Tuesday","33-78",50.1
"375","Wednesday","33-78",59.5
"376","Friday","33-79",82.6
"377","Monday","33-79",19.1
"378","Thursday","33-79",71.1
"379","Tuesday","33-79",28.7
"380","Wednesday","33-79",47.4
"381","Friday","33-8",0
"382","Monday","33-8",18.6
"383","Thursday","33-8",0
"384","Tuesday","33-8",20.3
"385","Wednesday","33-8",0
"386","Friday","33-80",0
"387","Monday","33-80",11.7
"388","Thursday","33-80",34.5
"389","Tuesday","33-80",60.9
"390","Wednesday","33-80",0
"391","Friday","33-81",61.3
"392","Monday","33-81",23
"393","Thursday","33-81",0
"394","Tuesday","33-81",40.6
"395","Wednesday","33-81",68.2
"396","Friday","33-82",0
"397","Monday","33-82",35.2
"398","Thursday","33-82",54.9
"399","Tuesday","33-82",53.1
"400","Wednesday","33-82",49
"401","Friday","33-83",14.4
"402","Monday","33-83",16.7
"403","Thursday","33-83",0
"404","Tuesday","33-83",55.4
"405","Wednesday","33-83",0
"406","Friday","33-84",0
"407","Monday","33-84",39.5
"408","Thursday","33-84",0
"409","Tuesday","33-84",36.8
"410","Wednesday","33-84",0
"411","Friday","33-85",0
"412","Monday","33-85",47.6
"413","Thursday","33-85",49.5
"414","Tuesday","33-85",38.1
"415","Wednesday","33-85",53.8
"416","Friday","33-86",0
"417","Monday","33-86",28.5
"418","Thursday","33-86",0
"419","Tuesday","33-86",0
"420","Wednesday","33-86",0
"421","Friday","33-87",34.9
"422","Monday","33-87",11.9
"423","Thursday","33-87",0
"424","Tuesday","33-87",55.3
"425","Wednesday","33-87",51
"426","Friday","33-88",0
"427","Monday","33-88",33.2
"428","Thursday","33-88",56.4
"429","Tuesday","33-88",57.8
"430","Wednesday","33-88",24.1
"431","Friday","33-89",0
"432","Monday","33-89",29.4
"433","Thursday","33-89",0
"434","Tuesday","33-89",0
"435","Wednesday","33-89",0
"436","Friday","33-9",0
"437","Monday","33-9",31.7
"438","Thursday","33-9",31.2
"439","Tuesday","33-9",0
"440","Wednesday","33-9",0
"441","Friday","33-90",0
"442","Monday","33-90",12.8
"443","Thursday","33-90",0
"444","Tuesday","33-90",0
"445","Wednesday","33-90",2.3
"446","Friday","33-91",0
"447","Monday","33-91",6
"448","Thursday","33-91",62.9
"449","Tuesday","33-91",33.1
"450","Wednesday","33-91",64.1
"451","Friday","33-92",0
"452","Monday","33-92",39
"453","Thursday","33-92",61.3
"454","Tuesday","33-92",62.6
"455","Wednesday","33-92",23.1
"456","Friday","33-93",0
"457","Monday","33-93",20.5
"458","Thursday","33-93",49.5
"459","Tuesday","33-93",37.7
"460","Wednesday","33-93",51.5
"461","Friday","33-94",0
"462","Monday","33-94",60.6
"463","Thursday","33-94",5.7
"464","Tuesday","33-94",0
"465","Wednesday","33-94",66.4
"466","Friday","33-95",0
"467","Monday","33-95",16.3
"468","Thursday","33-95",63.7
"469","Tuesday","33-95",44.1
"470","Wednesday","33-95",26.4
"471","Friday","33-96",0
"472","Monday","33-96",0.1
"473","Thursday","33-96",0
"474","Tuesday","33-96",0
"475","Wednesday","33-96",0
"476","Friday","33-97",0
"477","Monday","33-97",27
"478","Thursday","33-97",0
"479","Tuesday","33-97",0
"480","Wednesday","33-97",0
"481","Friday","33-98",58.7
"482","Monday","33-98",28
"483","Thursday","33-98",0
"484","Tuesday","33-98",17.8
"485","Wednesday","33-98",0
"486","Friday","33-99",1.3
"487","Monday","33-99",0
"488","Thursday","33-99",27.8
"489","Tuesday","33-99",10
"490","Wednesday","33-99",0
