Region,Region Name,Building Code,Region,Building Name,Building Address 1,Building Address 2,City,State,Zip,County,Municipality,Country,Latitude,Longitude,Ownership,Building Status,Building Class,Primary Use,Employees,,Seating Capacity,Estimated GSF,
M14,REGION 14 Southern Ohio - Northern Kentucky,BTYP,14,Tyler's Place - West Chester,7681 Tyler's Place,,West Chester,OH,45069-6392,Butler County,West Chester Township,United States of America,39.358531,-84.377062,Leased,Active,Office,General Office,25,each,25,5010.289645,square-feet
M15,REGION 15 Central NJ,J908,15,Bridgewater West,454 State Route 28,,Bridgewater,NJ,08807-2452,Somerset County,Bridgewater,United States of America,40.589159,-74.653989,Leased,Active,Office,General Office,43,each,60,30240,square-feet
M15,REGION 15 Central NJ,JHZD,15,Horizon Drive - Operations (YRD),500 Horizon Dr,,Robbinsville,NJ,08691-1917,Mercer County,Robbinsville Township,United States of America,40.198991,-74.640753,Leased,Active,Office,General Office,0,each,0,17434.83,square-feet
M15,REGION 15 Central NJ,JYVA,15,Mercer Regional Center,2445 Kuser Rd,,Hamilton,NJ,08690-3300,Mercer County,Hamilton Township,United States of America,40.204125,-74.663372,Leased,Active,Office,General Office,53,each,82,20005.82,square-feet
M15,REGION 15 Central NJ,J601,15,Nassau Street,76 Nassau St,1 Palmer Square,Princeton,NJ,08542-4520,Mercer County,Princeton Township,United States of America,40.349502,-74.660664,Leased,Active,Office,General Office with Branch,48,each,56,20700,square-feet
M15,REGION 15 Central NJ,AR07,15,PNC Real Estate - Princeton,5 Independence Way,,Princeton,NJ,08540-6627,Mercer County,Princeton,United States of America,40.360382,-74.59948,Leased,Active,Office,General Office,0,each,0,3578.85,square-feet
M15,REGION 15 Central NJ,JTTC,15,Two Tower Center,2 Tower Center Blvd,,East Brunswick,NJ,08816-1100,Middlesex County,East Brunswick,United States of America,40.479215,-74.410088,Leased,Active,Office,General Office,330,each,474,116404.04,square-feet
M15,REGION 15 Central NJ,YMFU,15,Westfield NJ Desk - Mortgage,530 South Ave W,,Westfield,NJ,07090-1402,Union County,Westfield,United States of America,40.648315,-74.351807,Leased,Active,Office,Mortgage-Rent a Desk,0,each,1,100,square-feet
M16,REGION 16 Greater Washington,YMBK,16,Alexandria - Mortgage,123 N Pitt St,Suite 525,Alexandria,VA,22314-3222,Alexandria City County,Alexandria County,United States of America,38.805462,-77.044418,Leased,Active,Office,Mortgage-Branch,8,each,11,2381,square-feet
M16,REGION 16 Greater Washington,YMEJ,16,Alexandria VA Mortgage Desk,5100 Leesburg Pike,Suite 200,Alexandria,VA,22302-1000,Alexandria City County,Alexandria County,United States of America,38.845493,-77.115122,Leased,Active,Office,Mortgage-Rent a Desk,0,each,2,100,square-feet
M16,REGION 16 Greater Washington,YMGW,16,Alexandria VA-Mt Vernon Av-Mortgage,2104 Mt Vernon Ave,,Alexandria,VA,22301-1312,Alexandria City County,City of Alexandria,United States of America,,,Leased,Active,Office,Mortgage-Rent a Desk,0,each,1,120,square-feet
M16,REGION 16 Greater Washington,CADC,16,Ashburn Data Center - Greenfield 2,44060 Digital Loudoun Plaza,,Ashburn,VA,20147-5914,Loudoun County,Loudoun County,United States of America,,,Leased,Active,Office,Data Center,0,each,0,16094.64,square-feet
M16,REGION 16 Greater Washington,YM97,16,Bayside NY - Mortgage,218-14 Northern Blvd,Suite 103,Bayside,NY,11361-3580,Queens County,Queens County,United States of America,40.76138,-73.76298,Leased,Active,Office,Mortgage-Branch,5,each,18,3334,square-feet
M16,REGION 16 Greater Washington,C529,16,Bethesda - Wisconsin Avenue,7235 Wisconsin Ave,,Bethesda,MD,20814-4803,Montgomery County,Montgomery County,United States of America,38.981841,-77.092736,Leased,Active,Office,General Office with Branch,12,each,44,30070.08,square-feet
M16,REGION 16 Greater Washington,CWMB,16,Bethesda WM - Montgomery Lane,4800 Montgomery Ln,Suite 350,Bethesda,MD,20814-3429,Montgomery County,Montgomery County,United States of America,38.983313,-77.095574,Leased,Active,Office,General Office,16,each,27,10363.31266,square-feet
